Question,Question Type,Question Tags,Question Choices,Question Shuffle Options,Question Shuffle Answers,Question Num Eval,Question Correct Answer,Question Correct,Question Incorrect,Question Feedback,Question Skills,Question Description
1 + 1 = <ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,2,Correct,Incorrect,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore ","[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
45 / 15 =,MULCH,"{""+"", ""tables""}","{3, 15 , 42, 30}",,,TRUE,3,Correct,Incorrect,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore ","[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
10 =,MULRE,"{""pls"", ""decomp""}","{""5 + 5"", ""2 + 8"", ""5 + 4"", ""3 + 8""}",TRUE,TRUE,FALSE,"{""2 + 8"", ""5 + 5""}",Correct,Incorrect,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore ","[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
"{""2 + 3 ="", ""0 + 13 ="", ""15 + 2 ="", ""7 + 6 =""}",MATCH,"{""+"", ""<=10"", ""tables""}","{6, 13, 17, 12}",TRUE,TRUE,TRUE,"{5, 13, 17}",Correct,Incorrect,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore ","[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
<ans> + <ans> = 31,FITBD,"{""+"", ""<=10"", ""tables""}","{9, 22, 1, 2}",TRUE,TRUE,TRUE,"{""22 + 9 = 31"",""9 + 22 = 31""}",Correct,Incorrect,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore ","[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
16 + 16 = <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,{16 + 16 = 1/3},Correct,Incorrect,Give your answers in reduced form:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
16 + 16 = <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{16 + 16 = 1/3, 16 + 16 = 2/6, 16 + 16 = 3/9}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
1/4 + 1/4 = <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{1/2, ""reduced""}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
1/4 + 1/4 = <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{1/2}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
17/8 = <ans> <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{2 1/8, ""reduced"", ""mfractionA""}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
2 1/8 = <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{17/8, ""reduced"", ""mfractionB""}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample
2 3/4 + 1 2/3 = <ans> <ans>/<ans>,FITBT,"{""+"", ""tables"", ""<=10""}",,,,TRUE,"{1 1/12, ""reduced"", ""mfractionC""}",Correct,Incorrect,Solve the following. You dont have to reduce your fractions:,"[{""skill"":""NN - addition"", ""subskills"": [""tables"", ""algorithm""]}]",Sample